Слово;Реальная частота;Ципф
в;449;449
и;360;225
;179;150
на;158;113
элемент;147;90
–;144;75
свойство;142;65
с;142;57
для;120;50
который;119;45
мы;107;41
не;84;38
по;74;35
если;73;33
быть;72;30
то;72;29
дать;68;27
значение;66;25
как;65;24
или;63;23
это;63;22
при;62;21
от;61;20
мочь;60;19
один;59;18
класс;58;18
а;57;17
он;56;17
весь;56;16
команда;54;15
к;53;15
они;53;15
;51;14
этот;49;14
иметь;48;13
2;46;13
управление;45;13
что;45;12
например;44;12
wpf;43;12
8;43;11
помощь;42;11
приложение;41;11
являться;40;11
из;40;10
другой;38;10
представлять;38;10
также;37;10
строка;36;10
использовать;35;9
тот;32;9
можно;32;9
чтобы;32;9
интерфейс;32;9
объект;32;9
зависимость;30;9
тип;30;8
использоваться;28;8
так;28;8
метод;28;8
код;27;8
есть;25;8
такой;25;8
два;25;8
контейнер;24;7
определённый;24;7
надо;24;7
до;24;7
параметр;23;7
век;23;7
но;22;7
изображение;22;7
нейрон;22;7
свой;22;7
себя;21;6
кнопка;21;6
только;21;6
связь;21;6
о;21;6
каждый;20;6
случай;20;6
процесс;20;6
компоновка;20;6
текст;20;6
единица;19;6
же;19;6
более;19;6
курс;19;6
вы;19;6
система;19;5
xaml;19;5
группа;19;5
князь;19;5
привязка;18;5
высота;18;5
true;18;5
окно;18;5
за;18;5
форма;18;5
язык;18;5
умолчание;17;5
столбец;17;5
у;17;5
установить;17;5
файл;17;5
человек;17;5
=0;17;5
содержимое;17;5
несколько;16;5
часть;16;5
ряд;16;5
позволять;16;5
хозяйство;16;4
власть;16;4
размер;15;4
время;15;4
задать;15;4
следующий;15;4
бы;15;4
название;15;4
общий;15;4
вид;15;4
создание;15;4
государство;15;4
установка;14;4
изменение;14;4
затем;14;4
между;14;4
оно;14;4
модель;14;4
результат;14;4
база;14;4
римский;14;4
указывать;13;4
нужно;13;4
ширина;13;4
поэтому;13;4
применяться;13;4
имя;13;4
набор;13;4
территория;13;4
общество;13;4
тд;13;4
нэ;13;4
находиться;12;4
качество;12;4
столбцы;12;4
обычный;12;4
высокий;12;4
решение;12;3
использование;12;3
данный;12;3
нейронный;12;3
сеть;12;3
связанный;12;3
социальный;12;3
равный;11;3
содержимый;11;3
после;11;3
определять;11;3
состоять;11;3
создать;11;3
разный;11;3
переменный;11;3
однако;11;3
действие;11;3
различный;11;3
число;11;3
специальный;11;3
основа;11;3
государственный;11;3
древний;11;3
община;11;3
развитие;11;3
русь;11;3
год;11;3
право;11;3
a;11;3
>b;11;3
текстовый;11;3
id;11;3
культура;11;3
работа;10;3
пиксель;10;3
самый;10;3
задавать;10;3
некоторый;10;3
выше;10;3
добавить;10;3
принимать;10;3
уже;10;3
сам;10;3
новый;10;3
она;10;3
задача;10;3
представить;10;3
пользователь;10;3
графический;10;3
включать;10;3
под;10;3
знать;10;3
слой;10;3
возможность;10;3
глава;10;3
программа;10;3
c#;10;3
политический;10;3
;10;3
процедура;10;3
sql;10;3
пол;10;3
полис;10;3
устройство;9;3
кроме;9;3
разметка;9;3
вложить;9;3
информация;9;3
определение;9;3
создавать;9;3
windows;9;3
пример;9;3
три;9;3
где;9;3
сделать;9;3
структура;9;2
ещё;9;2
добавлять;9;2
получить;9;2
хороший;9;2
период;9;2
всего;9;2
выполнять;9;2
net;9;2
хранить;9;2
статический;9;2
внутри;9;2
называться;9;2
народ;9;2
земля;9;2
дань;9;2
научный;9;2
получать;9;2
графика;9;2
проект;9;2
server;9;2
необходимый;8;2
стандартный;8;2
наиболее;8;2
определить;8;2
образ;8;2
источник;8;2
наш;8;2
относиться;8;2
наука;8;2
прокрутка;8;2
платформа;8;2
дерево;8;2
передаваться;8;2
урок;8;2
последний;8;2
вызываться;8;2
четыре;8;2
пространство;8;2
декларативный;8;2
совокупность;8;2
термин;8;2
член;8;2
сословие;8;2
место;8;2
население;8;2
>;8;2
88;8;2
0b;8;2
событие;8;2
встроить;8;2
нажать;8;2
обновление;8;2
гражданин;8;2
рим;8;2
простой;7;2
координата;7;2
3;7;2
таблица;7;2
здесь;7;2
обычно;7;2
доступный;7;2
увидеть;7;2
сплитер;7;2
хотя;7;2
важный;7;2
устанавливаться;7;2
проходить;7;2
поддержка;7;2
уровень;7;2
directx;7;2
речь;7;2
функция;7;2
textblock;7;2
устанавливать;7;2
валидация;7;2
должный;7;2
логика;7;2
родовой;7;2
собственность;7;2
основать;7;2
племя;7;2
организация;7;2
предполагать;7;2
раб;7;2
титул;7;2
вотчина;7;2
золотой;7;2
поместье;7;2
др;7;2
1k;7;2
87;7;2
вместе;7;2
принцип;7;2
конкретный;7;2
кисть;7;2
1c45b;7;2
меню;7;2
шрифт;7;2
возвращать;7;2
атрибут;7;2
ms;7;2
этнос;7;2
установленный;6;2
точка;6;2
*;6;2
дюйм;6;2
верхний;6;2
немой;6;2
управлять;6;2
grid;6;2
равно;6;2
область;6;2
соответственно;6;2
отображать;6;2
сложный;6;2
подбор;6;2
наличие;6;2
отображаться;6;2
компонент;6;2
визуализация;6;2
чем;6;2
классификация;6;2
далее;6;2
ресурс;6;2
отличие;6;2
соответствовать;6;2
правило;6;2
нужный;6;2
существовать;6;2
работать;6;2
происхождение;6;2
ранний;6;2
эпоха;6;2
род;6;2
объединить;6;2
общественный;6;2
отдельный;6;2
—;6;2
царь;6;2
холоп;6;2
феодальный;6;2
русский;6;2
поздний;6;2
документ;6;2
xv;6;2
боярский;6;2
феодал;6;2
004=>9;6;2
0b;6;2
4o;6;2
реальный;6;2
цвет;6;2
узел;6;2
обработчик;6;2
стать;6;2
видео;6;2
страница;6;2
момент;6;2
богатый;6;2
ввод;6;2
взаимодействовать;6;2
новое;6;2
просто;6;2
прикреплять;6;2
обладать;6;2
реализовать;6;2
курсор;6;2
запись;6;2
подключение;6;2
штрих;6;2
должность;6;2
делегат;6;2
археологический;6;2
самоназвание;6;2
клиент;6;2
указать;5;2
граница;5;2
1;5;2
разрешение;5;2
помогать;5;2
ячейка;5;2
height;5;2
полоса;5;2
winforms;5;2
маленький;5;2
width;5;2
путём;5;2
очень;5;2
изменять;5;2
phone;5;2
множество;5;2
идти;5;2
подобный;5;2
схема;5;2
представление;5;2
выглядеть;5;2
перед;5;2
анализ;5;2
особенность;5;2
проверка;5;2
прохождение;5;2
шаг;5;2
студент;5;2
день;5;2
балл;5;2
дело;5;2
api;5;2
входить;5;2
библиотека;5;2
явный;5;2
